;journée;domicile;extérieur;temps;minutes;secondes;intervalle de temps;période;action;joueur;équipe;numéro joueur;score USDH;score adversaire;différence de buts;situation au score;nbr joueurs de champs USDH;nbr joueurs de champs adversaire;situation numérique
0;J1;Pouzauges;USDH;0.0;0;0;(-0.001, 5.0];1; ; ; ;;0;0;0;égalité;6;6;0
1;J1;Pouzauges;USDH;1.2;1;12;(-0.001, 5.0];1;but;nathan BILLAUD;Pouzauges;14.0;0;1;-1;adversaire mène;6;6;0
2;J1;Pouzauges;USDH;2.2666666666666666;2;16;(-0.001, 5.0];1;but;alexandre COMMEYRAS;USDH;99.0;1;1;0;égalité;6;6;0
3;J1;Pouzauges;USDH;2.6666666666666665;2;40;(-0.001, 5.0];1;but;thibaud HUVELIN;Pouzauges;10.0;1;2;-1;adversaire mène;6;6;0
4;J1;Pouzauges;USDH;3.4166666666666665;3;25;(-0.001, 5.0];1;but;dorian-pierre DONELLI;Pouzauges;21.0;1;3;-2;adversaire mène;6;6;0
5;J1;Pouzauges;USDH;4.616666666666667;4;37;(-0.001, 5.0];1;2min;dorian-pierre DONELLI;Pouzauges;21.0;1;3;-2;adversaire mène;6;5;1
6;J1;Pouzauges;USDH;4.866666666666667;4;52;(-0.001, 5.0];1;but 7m;alexandre COMMEYRAS;USDH;99.0;2;3;-1;adversaire mène;6;5;1
7;J1;Pouzauges;USDH;5.183333333333334;5;11;(5.0, 10.0];1;but 7m;remi GUILLON;USDH;93.0;3;3;0;égalité;6;5;1
8;J1;Pouzauges;USDH;6.6;6;36;(5.0, 10.0];1;arrêt;louis CALESSE;Pouzauges;12.0;3;3;0;égalité;6;5;1
9;J1;Pouzauges;USDH;6.75;6;45;(5.0, 10.0];1;but;vivien HENNETIER;USDH;33.0;4;3;1;USDH mène;6;6;0
10;J1;Pouzauges;USDH;7.35;7;21;(5.0, 10.0];1;arrêt;timothee CASTEL;USDH;1.0;4;3;1;USDH mène;6;6;0
11;J1;Pouzauges;USDH;7.483333333333333;7;29;(5.0, 10.0];1;arrêt;louis CALESSE;Pouzauges;12.0;4;3;1;USDH mène;6;6;0
12;J1;Pouzauges;USDH;7.65;7;39;(5.0, 10.0];1;arrêt;timothee CASTEL;USDH;1.0;4;3;1;USDH mène;6;6;0
13;J1;Pouzauges;USDH;8.766666666666667;8;46;(5.0, 10.0];1;avertissement;nathan BILLAUD;Pouzauges;14.0;4;3;1;USDH mène;6;6;0
14;J1;Pouzauges;USDH;9.066666666666666;9;4;(5.0, 10.0];1;arrêt;louis CALESSE;Pouzauges;12.0;4;3;1;USDH mène;6;6;0
15;J1;Pouzauges;USDH;9.4;9;24;(5.0, 10.0];1;arrêt;louis CALESSE;Pouzauges;12.0;4;3;1;USDH mène;6;6;0
16;J1;Pouzauges;USDH;10.083333333333334;10;5;(10.0, 15.0];1;arrêt;louis CALESSE;Pouzauges;12.0;4;3;1;USDH mène;6;6;0
17;J1;Pouzauges;USDH;10.883333333333333;10;53;(10.0, 15.0];1;arrêt;louis CALESSE;Pouzauges;12.0;4;3;1;USDH mène;6;6;0
18;J1;Pouzauges;USDH;11.666666666666666;11;40;(10.0, 15.0];1;2min;nathan BILLAUD;Pouzauges;14.0;4;3;1;USDH mène;6;5;1
19;J1;Pouzauges;USDH;12.016666666666667;12;1;(10.0, 15.0];1;but;antoine PEAUD;Pouzauges;5.0;4;4;0;égalité;6;5;1
20;J1;Pouzauges;USDH;12.083333333333334;12;5;(10.0, 15.0];1;2min;alexandre COMMEYRAS;USDH;99.0;4;4;0;égalité;5;5;0
21;J1;Pouzauges;USDH;12.9;12;54;(10.0, 15.0];1;arrêt;louis CALESSE;Pouzauges;12.0;4;4;0;égalité;5;5;0
22;J1;Pouzauges;USDH;12.95;12;57;(10.0, 15.0];1;arrêt;louis CALESSE;Pouzauges;12.0;4;4;0;égalité;5;5;0
23;J1;Pouzauges;USDH;13.016666666666667;13;1;(10.0, 15.0];1;but;antoine PEAUD;Pouzauges;5.0;4;5;-1;adversaire mène;5;5;0
24;J1;Pouzauges;USDH;14.416666666666666;14;25;(10.0, 15.0];1;arrêt;louis CALESSE;Pouzauges;12.0;4;5;-1;adversaire mène;6;6;0
25;J1;Pouzauges;USDH;14.516666666666667;14;31;(10.0, 15.0];1;arrêt;timothee CASTEL;USDH;1.0;4;5;-1;adversaire mène;6;6;0
26;J1;Pouzauges;USDH;14.683333333333334;14;41;(10.0, 15.0];1;but;gaetan LHOPITALLIER;Pouzauges;20.0;4;6;-2;adversaire mène;6;6;0
27;J1;Pouzauges;USDH;16.366666666666667;16;22;(15.0, 20.0];1;arrêt;louis CALESSE;Pouzauges;12.0;4;6;-2;adversaire mène;6;6;0
